episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
136,-1239.0299999999997,200,0.88355,947,30.0,310.0,7,179
137,-1755.124,200,0.8827,953,15.0,373.0,3,181
138,-1296.8,200,0.88185,954,12.0,274.0,2,179
139,-1753.1099999999997,200,0.881,959,9.0,360.0,2,178
140,-997.182,200,0.88015,964,13.0,216.0,3,175
141,-1276.322,200,0.8793,968,17.0,284.0,5,179
142,-1107.62,200,0.87845,974,4.0,221.0,2,177
143,-1587.797999999999,200,0.8776,974,12.0,333.0,2,182
144,-1352.1860000000006,200,0.87675,977,22.0,306.0,3,174
145,-1326.8459999999993,200,0.8759,985,14.0,286.0,3,170
146,-1858.6519999999996,200,0.87505,986,12.0,389.0,3,177
147,-1977.1339999999996,200,0.8742,987,0.0,385.0,0,175
148,-1433.2200000000003,200,0.8733500000000001,991,33.0,348.0,4,171
149,-1440.6879999999999,200,0.8725,996,27.0,339.0,5,171
150,-1495.9940000000001,200,0.87165,1001,12.0,315.0,3,181
151,-928.7560000000003,200,0.8708,1002,25.0,231.0,6,172
152,-2106.9599999999996,200,0.86995,1003,8.0,426.0,1,182
153,-1734.3480000000006,200,0.8691,1004,7.0,351.0,2,180
154,-1408.068,200,0.86825,1005,21.0,317.0,6,181
155,-1759.5539999999999,200,0.8674,1005,0.0,341.0,0,179
156,-1477.1560000000004,200,0.86655,1007,9.0,304.0,2,168
157,-1210.8280000000002,200,0.8657,1007,15.0,266.0,3,176
158,-1380.0360000000003,200,0.86485,1007,29.0,333.0,7,182
159,-1334.6399999999999,200,0.864,1008,22.0,305.0,3,183
160,-757.3480000000002,200,0.86315,1009,25.0,197.0,5,181
161,-1137.3860000000002,200,0.8623000000000001,1009,21.0,263.0,5,174
162,-1764.8039999999994,200,0.86145,1012,17.0,379.0,3,179
163,-1345.9699999999998,200,0.8606,1012,14.0,291.0,4,172
164,-1252.448,200,0.85975,1014,0.0,239.0,0,170
165,-907.8099999999998,200,0.8589,1016,36.0,256.0,10,172
166,-1569.118,200,0.85805,1017,17.0,340.0,2,175
167,-1682.9399999999994,200,0.8572,1017,8.0,344.0,2,167
168,-1539.972,200,0.85635,1021,2.0,301.0,1,178
169,-1740.928,200,0.8554999999999999,1022,8.0,355.0,2,179
170,-1391.1299999999999,200,0.85465,1025,6.0,280.0,1,177
171,-1372.6780000000003,200,0.8538,1025,15.0,296.0,3,175
172,-1408.8340000000003,200,0.85295,1025,15.0,307.0,4,180
173,-905.7679999999999,200,0.8521000000000001,1026,26.0,233.0,7,176
174,-1497.5180000000003,200,0.8512500000000001,1028,9.0,308.0,2,170
175,-1232.1120000000003,200,0.8504,1028,23.0,288.0,6,173
176,-1593.6839999999986,200,0.84955,1029,19.0,353.0,3,170
177,-917.56,200,0.8487,1032,40.0,265.0,7,175
178,-1404.0460000000003,200,0.84785,1036,12.0,297.0,2,178
179,-1238.6560000000006,200,0.847,1037,12.0,263.0,3,179
180,-1223.4840000000004,200,0.84615,1039,14.0,265.0,2,177
181,-1332.4219999999996,200,0.8452999999999999,1040,17.0,297.0,4,175
182,-2047.746000000001,200,0.84445,1043,0.0,399.0,0,172
183,-1242.9599999999994,200,0.8436,1043,17.0,275.0,4,168
184,-1403.6219999999998,200,0.84275,1045,14.0,301.0,5,172
185,-1085.4339999999997,200,0.8419,1048,29.0,270.0,4,171
186,-1103.7160000000006,200,0.84105,1048,22.0,260.0,5,172
187,-1817.4639999999993,200,0.8402000000000001,1049,6.0,366.0,2,172
188,-870.998,200,0.83935,1051,24.0,218.0,6,174
189,-1371.7139999999995,200,0.8385,1052,32.0,336.0,6,168
190,-1772.4499999999991,200,0.83765,1052,10.0,367.0,3,173
191,-922.3440000000003,200,0.8368,1056,31.0,247.0,7,176
192,-1719.004,200,0.83595,1056,25.0,391.0,6,180
193,-1218.004,200,0.8351,1059,27.0,294.0,7,185
194,-793.482,200,0.8342499999999999,1060,35.0,226.0,10,168
195,-1396.882,200,0.8334,1060,21.0,314.0,3,177
196,-1477.7079999999999,200,0.83255,1062,6.0,298.0,2,173
197,-1513.87,200,0.8317,1063,0.0,292.0,0,175
198,-1543.327999999999,200,0.83085,1067,34.0,374.0,7,179
199,-1310.106,200,0.83,1068,18.0,292.0,5,175
200,-917.7519999999996,200,0.82915,1070,40.0,264.0,9,176
201,-1140.674,200,0.8283,1073,42.0,311.0,9,171
202,-1604.7600000000002,200,0.82745,1073,4.0,317.0,1,174
203,-1013.4939999999997,200,0.8266,1073,22.0,241.0,5,173
204,-1389.3940000000002,200,0.82575,1074,13.0,297.0,3,170
205,-1371.4339999999997,200,0.8249,1077,10.0,285.0,3,179
206,-1493.4820000000002,200,0.82405,1079,21.0,337.0,7,176
207,-1067.5760000000002,200,0.8232,1080,33.0,274.0,7,176
208,-1395.2120000000007,200,0.82235,1080,17.0,308.0,4,178
209,-1398.3999999999999,200,0.8215,1081,7.0,283.0,1,181
210,-1785.458,200,0.82065,1081,7.0,361.0,1,175
211,-1812.1979999999999,200,0.8198,1081,11.0,377.0,2,182
212,-1376.7659999999998,200,0.8189500000000001,1081,19.0,307.0,4,178
213,-1413.2419999999995,200,0.8181,1081,0.0,272.0,0,176
214,-1050.9579999999996,200,0.81725,1081,39.0,286.0,6,178
215,-834.3939999999996,200,0.8164,1082,27.0,219.0,6,174
216,-1922.5560000000003,200,0.81555,1082,19.0,416.0,4,181
217,-2129.9339999999997,200,0.8147,1082,0.0,415.0,0,173
218,-1271.0760000000002,200,0.81385,1083,9.0,262.0,1,177
219,-1537.3940000000002,200,0.813,1084,2.0,300.0,1,171
220,-1711.1820000000002,200,0.81215,1087,0.0,331.0,0,173
221,-1360.3419999999994,200,0.8113,1088,18.0,303.0,5,167
222,-1789.2619999999997,200,0.81045,1089,15.0,382.0,3,168
223,-1882.3,200,0.8096,1093,7.0,380.0,2,162
224,-1843.5500000000002,200,0.80875,1093,11.0,383.0,4,183
225,-1293.8339999999994,200,0.8079000000000001,1100,13.0,277.0,3,170
226,-1307.942000000001,200,0.80705,1101,9.0,271.0,1,173
227,-1897.752,200,0.8062,1101,11.0,392.0,3,177
228,-1271.6259999999997,200,0.80535,1105,11.0,267.0,2,170
229,-1113.7619999999997,200,0.8045,1106,0.0,212.0,0,172
230,-1550.4960000000003,200,0.80365,1108,0.0,299.0,0,171
231,-1307.834,200,0.8028,1109,22.0,302.0,6,173
232,-1260.4440000000004,200,0.8019499999999999,1110,24.0,294.0,5,184
233,-1316.642,200,0.8011,1110,31.0,322.0,5,176
234,-1426.2540000000001,200,0.80025,1118,3.0,281.0,3,181
235,-1757.7219999999993,200,0.7994,1119,5.0,352.0,1,181
236,-1051.1000000000004,200,0.79855,1119,41.0,293.0,8,176
237,-1009.6759999999997,200,0.7977000000000001,1122,46.0,301.0,10,171
238,-1549.2179999999998,200,0.7968500000000001,1130,0.0,299.0,0,179
239,-1437.8699999999997,200,0.796,1134,8.0,294.0,2,183
240,-1485.1380000000006,200,0.79515,1134,11.0,310.0,2,175
241,-1710.8199999999995,200,0.7943,1135,9.0,353.0,3,172
242,-1691.3520000000008,200,0.79345,1135,0.0,327.0,0,185
243,-1119.6979999999996,200,0.7926,1137,37.0,297.0,7,169
244,-1772.5900000000004,200,0.79175,1138,8.0,360.0,1,172
245,-1414.5439999999999,200,0.7909,1138,23.0,323.0,5,187
246,-1292.4579999999999,200,0.79005,1138,0.0,247.0,0,173
247,-1404.3000000000002,200,0.7892,1139,4.0,278.0,1,173
248,-1241.4980000000005,200,0.78835,1139,10.0,258.0,1,175
249,-1297.8879999999992,200,0.7875,1140,33.0,320.0,7,171
250,-1493.7760000000003,200,0.7866500000000001,1141,18.0,328.0,3,170
251,-1170.722,200,0.7858,1142,18.0,264.0,5,166
252,-1437.8880000000004,200,0.78495,1145,0.0,277.0,0,181
253,-1252.962000000001,200,0.7841,1148,28.0,303.0,5,173
254,-1294.2699999999998,200,0.78325,1148,23.0,298.0,5,173
255,-1711.1120000000003,200,0.7824,1148,19.0,376.0,3,172
256,-1197.296,200,0.78155,1152,36.0,309.0,9,176
257,-1413.328,200,0.7807,1156,0.0,271.0,0,178
258,-1000.3259999999992,200,0.7798499999999999,1156,60.0,328.0,11,173
259,-1384.393999999999,200,0.779,1165,7.0,281.0,1,168
260,-1397.8920000000005,200,0.77815,1165,0.0,268.0,0,175
261,-811.772,200,0.7773,1171,42.0,247.0,9,171
262,-978.7239999999997,200,0.77645,1179,16.0,223.0,3,175
263,-1594.9079999999997,200,0.7756,1181,0.0,308.0,0,179
264,-1658.8299999999997,200,0.77475,1182,10.0,344.0,2,181
265,-1127.7839999999997,200,0.7739,1182,15.0,248.0,3,177
266,-1152.0740000000003,200,0.77305,1182,19.0,263.0,3,180
267,-1259.0659999999998,200,0.7722,1183,42.0,336.0,9,175
268,-1290.7240000000002,200,0.77135,1187,33.0,321.0,9,174
269,-1278.1660000000004,200,0.7705,1188,21.0,291.0,6,166
270,-1310.9059999999997,200,0.76965,1192,22.0,302.0,6,166
271,-1211.9980000000003,200,0.7687999999999999,1197,19.0,274.0,6,162
272,-1236.8779999999997,200,0.76795,1197,28.0,301.0,6,163
273,-1502.5939999999996,200,0.7671,1198,0.0,291.0,0,164
274,-1047.6360000000006,200,0.76625,1201,35.0,279.0,8,173
275,-1247.068,200,0.7654,1202,14.0,271.0,3,164
276,-1388.3460000000005,200,0.76455,1202,20.0,314.0,3,166
277,-1265.1479999999992,200,0.7637,1203,42.0,336.0,9,176
278,-1049.028,200,0.76285,1203,46.0,299.0,7,180
279,-1518.3580000000002,200,0.762,1204,0.0,293.0,0,174
280,-1316.1140000000003,200,0.76115,1211,36.0,336.0,8,187
281,-1056.0300000000002,200,0.7603,1212,35.0,280.0,7,176
282,-1395.8680000000006,200,0.7594500000000001,1215,24.0,324.0,6,168
283,-1372.4759999999997,200,0.7586,1217,9.0,284.0,2,171
284,-1526.024,200,0.75775,1217,0.0,293.0,0,171
285,-1067.1620000000003,200,0.7569,1217,23.0,253.0,4,174
286,-1152.29,200,0.75605,1217,9.0,241.0,2,173
287,-1121.9019999999996,200,0.7552000000000001,1219,9.0,234.0,1,175
288,-1449.0900000000001,200,0.7543500000000001,1223,30.0,345.0,8,176
289,-1279.9559999999997,200,0.7535000000000001,1223,26.0,306.0,6,183
290,-952.3699999999994,200,0.75265,1223,16.0,217.0,3,174
291,-1634.14,200,0.7518,1223,16.0,354.0,3,168
292,-1441.1040000000003,200,0.75095,1224,12.0,303.0,2,175
293,-966.9159999999998,200,0.7501,1225,18.0,223.0,4,183
294,-1738.8339999999994,200,0.74925,1231,18.0,377.0,4,168
295,-1248.5159999999994,200,0.7484,1231,10.0,260.0,2,182
296,-1397.866,200,0.7475499999999999,1233,11.0,292.0,3,173
297,-1065.998,200,0.7467,1235,25.0,260.0,5,173
298,-1245.5959999999998,200,0.74585,1238,25.0,296.0,6,171
299,-1234.3639999999998,200,0.745,1244,14.0,267.0,3,171
300,-1775.0159999999996,200,0.7441500000000001,1244,0.0,343.0,0,167
301,-932.9399999999999,200,0.7433000000000001,1246,37.0,259.0,12,169
302,-1530.2159999999994,200,0.74245,1246,10.0,316.0,1,172
303,-1680.4699999999998,200,0.7416,1246,7.0,340.0,1,174
304,-1232.4280000000003,200,0.74075,1246,28.0,299.0,6,171
305,-1014.7759999999995,200,0.7399,1247,18.0,233.0,4,162
306,-1261.2720000000004,200,0.73905,1247,21.0,288.0,4,164
307,-900.1520000000002,200,0.7382,1247,37.0,256.0,9,174
308,-1597.328,200,0.73735,1247,3.0,316.0,2,167
309,-1075.06,200,0.7364999999999999,1248,22.0,254.0,7,178
310,-1597.6340000000002,200,0.73565,1250,13.0,335.0,3,180
311,-1470.028,200,0.7348,1250,8.0,302.0,2,162
312,-1606.4519999999993,200,0.73395,1251,0.0,311.0,0,176
313,-1471.8660000000002,200,0.7331000000000001,1251,11.0,309.0,2,174
314,-1232.476000000001,200,0.7322500000000001,1251,18.0,280.0,4,175
315,-1860.2259999999994,200,0.7314,1253,6.0,375.0,2,166
316,-1467.276000000001,200,0.73055,1255,9.0,304.0,4,168
317,-1386.6300000000003,200,0.7297,1256,19.0,308.0,8,164
318,-1271.3920000000003,200,0.72885,1257,20.0,287.0,8,165
319,-1692.6159999999995,200,0.728,1258,7.0,343.0,1,154
320,-1244.6700000000003,200,0.72715,1262,8.0,255.0,2,167
321,-1218.886,200,0.7263,1263,25.0,288.0,9,176
322,-1382.6179999999997,200,0.7254499999999999,1263,32.0,338.0,6,171
323,-979.0680000000001,200,0.7246,1263,21.0,233.0,4,168
324,-1380.6559999999997,200,0.72375,1267,8.0,282.0,1,169
325,-1162.0500000000006,200,0.7229,1270,12.0,249.0,3,173
326,-1502.7999999999993,200,0.72205,1270,12.0,314.0,2,170
327,-1732.6600000000005,200,0.7212000000000001,1271,0.0,336.0,0,163
328,-1325.9560000000006,200,0.72035,1271,11.0,279.0,2,174
329,-1151.224,200,0.7195,1271,35.0,298.0,6,171
330,-1367.8559999999995,200,0.71865,1271,11.0,285.0,2,170
331,-1354.1380000000004,200,0.7178,1276,12.0,285.0,3,172
332,-1344.622,200,0.71695,1276,22.0,309.0,7,168
333,-1108.7560000000003,200,0.7161,1276,49.0,323.0,12,178
334,-1643.2959999999996,200,0.7152499999999999,1276,7.0,333.0,2,162
335,-1922.7520000000004,200,0.7143999999999999,1277,8.0,391.0,2,176
336,-1411.8760000000002,200,0.7135499999999999,1277,0.0,272.0,0,174
337,-967.9399999999998,200,0.7127,1277,13.0,212.0,3,170
338,-1530.1720000000003,200,0.71185,1277,0.0,295.0,0,180
339,-1122.1579999999997,200,0.711,1281,18.0,253.0,2,177
340,-1350.6239999999991,200,0.7101500000000001,1282,18.0,300.0,4,167
341,-1071.2660000000003,200,0.7093,1284,7.0,219.0,1,184
342,-1429.2499999999998,200,0.70845,1284,18.0,314.0,3,170
343,-1198.3560000000007,200,0.7076,1290,20.0,274.0,4,176
344,-1534.7919999999997,200,0.70675,1290,5.0,307.0,1,168
345,-1419.268,200,0.7059,1290,24.0,328.0,5,170
346,-1300.8239999999996,200,0.70505,1292,0.0,249.0,0,175
347,-998.6839999999999,200,0.7042,1294,30.0,256.0,7,178
348,-1259.1960000000001,200,0.70335,1294,12.0,269.0,3,172
349,-1485.796,200,0.7025,1294,23.0,337.0,7,178
350,-1260.8899999999999,200,0.7016500000000001,1294,28.0,307.0,8,162
351,-1266.432,200,0.7008000000000001,1294,21.0,291.0,5,176
352,-1392.2000000000005,200,0.6999500000000001,1294,2.0,273.0,1,159
353,-1560.8700000000003,200,0.6991,1294,8.0,319.0,2,170
354,-1397.1819999999993,200,0.69825,1294,13.0,300.0,3,170
355,-1428.5419999999997,200,0.6974,1294,18.0,318.0,4,181
356,-1672.3360000000005,200,0.69655,1294,11.0,348.0,3,179
357,-1044.076,200,0.6957,1300,19.0,240.0,7,174
358,-1201.754,200,0.69485,1301,28.0,294.0,5,164
359,-1519.2920000000006,200,0.694,1301,2.0,296.0,1,177
360,-1496.0200000000004,200,0.69315,1302,0.0,288.0,0,170
361,-1384.048000000001,200,0.6923,1302,31.0,334.0,5,178
362,-1108.152,200,0.69145,1302,35.0,292.0,8,171
363,-809.6039999999998,200,0.6906,1307,30.0,219.0,7,179
364,-1227.8980000000001,200,0.6897500000000001,1310,8.0,254.0,3,178
365,-1138.2460000000003,200,0.6889000000000001,1311,23.0,268.0,6,172
366,-913.8979999999998,200,0.68805,1311,38.0,256.0,8,179
367,-743.844,200,0.6872,1313,24.0,191.0,5,168
368,-1362.4419999999998,200,0.68635,1313,22.0,311.0,5,169
369,-1542.9699999999996,200,0.6855,1313,15.0,335.0,6,173
370,-1274.812,200,0.68465,1317,21.0,292.0,6,171
371,-1168.9160000000004,200,0.6838,1317,19.0,265.0,3,154
372,-1386.2119999999998,200,0.68295,1318,30.0,335.0,5,182
373,-711.4619999999999,200,0.6820999999999999,1318,39.0,220.0,10,174
374,-960.0380000000004,200,0.68125,1318,34.0,256.0,8,173
375,-1369.3360000000005,200,0.6804,1319,31.0,333.0,8,178
