episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
152,-2183.8500000000004,200,0.9133,973,3.0,431.0,1,177
153,-1733.1680000000003,200,0.9127333333333333,975,10.0,359.0,3,178
154,-1544.2859999999998,200,0.9121666666666667,976,13.0,328.0,3,175
155,-1648.0240000000001,200,0.9116,978,7.0,334.0,1,169
156,-1623.7020000000005,200,0.9110333333333334,978,0.0,313.0,0,176
157,-1334.344,200,0.9104666666666666,980,8.0,273.0,1,177
158,-1817.9039999999998,200,0.9099,984,3.0,359.0,1,174
159,-1599.0739999999996,200,0.9093333333333333,987,8.0,327.0,2,180
160,-1116.24,200,0.9087666666666667,991,3.0,219.0,1,184
161,-1476.908,200,0.9082,991,0.0,284.0,0,179
162,-1590.802,200,0.9076333333333333,995,22.0,357.0,6,173
163,-1539.9239999999998,200,0.9070666666666667,995,2.0,302.0,1,173
164,-1096.72,200,0.9065,996,10.0,229.0,2,174
165,-1150.3000000000006,200,0.9059333333333334,997,25.0,276.0,5,175
166,-1367.2439999999997,200,0.9053666666666667,998,27.0,325.0,5,171
167,-1596.2060000000001,200,0.9048,1000,13.0,339.0,3,179
168,-1384.0459999999998,200,0.9042333333333333,1003,12.0,291.0,3,175
169,-1718.8199999999997,200,0.9036666666666666,1006,10.0,355.0,2,170
170,-1485.782,200,0.9031,1009,0.0,286.0,0,176
171,-1500.898,200,0.9025333333333333,1011,7.0,304.0,2,186
172,-1539.145999999999,200,0.9019666666666667,1012,8.0,314.0,2,171
173,-1358.8440000000003,200,0.9014,1012,0.0,261.0,0,172
174,-1394.4080000000006,200,0.9008333333333334,1012,14.0,300.0,4,174
175,-1283.6539999999998,200,0.9002666666666667,1018,21.0,294.0,5,176
176,-1909.4759999999987,200,0.8997,1020,0.0,372.0,0,180
177,-1327.9279999999999,200,0.8991333333333333,1020,15.0,290.0,3,186
178,-1488.316000000001,200,0.8985666666666666,1021,7.0,302.0,1,180
179,-1382.966,200,0.898,1023,3.0,272.0,1,175
180,-1448.3559999999998,200,0.8974333333333333,1027,0.0,279.0,0,172
181,-1468.794,200,0.8968666666666667,1030,10.0,304.0,2,177
182,-2016.701999999999,200,0.8963,1030,2.0,397.0,1,174
