episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
136,-142.13800000000003,200,0.8881166666666667,27400,0.5564808315038681,20.0,318.0,3,175
137,-148.2284,200,0.8873,27600,0.5426616368442774,27.0,348.0,9,179
138,-127.54179999999995,200,0.8864833333333333,27800,0.5751821188628674,13.0,273.0,2,176
139,-189.88439999999994,200,0.8856666666666667,28000,0.538067658022046,0.0,369.0,0,184
140,-88.8354,200,0.88485,28200,0.5979879808425903,18.0,205.0,4,178
141,-115.91079999999997,200,0.8840333333333333,28400,0.5779418802261352,24.0,279.0,6,179
142,-119.14040000000004,200,0.8832166666666666,28600,0.6061737208068371,0.0,229.0,0,173
143,-166.9038,200,0.8824,28800,0.5751051518321038,7.0,338.0,2,179
144,-138.98219999999998,200,0.8815833333333334,29000,0.5821505850553512,18.0,310.0,4,182
145,-145.6655999999999,200,0.8807666666666667,29200,0.6050475378334522,7.0,297.0,2,172
146,-205.8075999999999,200,0.87995,29400,0.592146420776844,0.0,401.0,0,179
147,-162.7034,200,0.8791333333333333,29600,0.5983041575551034,22.0,363.0,4,175
148,-137.143,200,0.8783166666666666,29800,0.6056042475253344,32.0,335.0,7,174
149,-173.91199999999998,200,0.8775,30000,0.5813887672126293,10.0,359.0,2,179
150,-134.77799999999996,200,0.8766833333333334,30200,0.6159275643527508,21.0,306.0,4,170
151,-107.0256,200,0.8758666666666667,30400,0.5996231407672167,17.0,242.0,3,176
152,-218.4224000000001,200,0.87505,30600,0.5966814801096916,3.0,431.0,1,179
153,-130.93240000000003,200,0.8742333333333333,30800,0.6293465619534254,34.0,327.0,7,184
154,-164.82059999999996,200,0.8734166666666666,31000,0.6503517753630876,7.0,334.0,2,175
155,-158.69799999999998,200,0.8726,31200,0.6235148357599973,11.0,330.0,2,182
156,-133.39140000000006,200,0.8717833333333334,31400,0.650164365619421,17.0,296.0,4,179
157,-124.17099999999999,200,0.8709666666666667,31600,0.6173206526786089,13.0,265.0,2,180
158,-168.81659999999997,200,0.87015,31800,0.6253114196658135,12.0,353.0,2,183
159,-156.00739999999993,200,0.8693333333333333,32000,0.604406321644783,8.0,319.0,3,181
160,-81.9514,200,0.8685166666666667,32200,0.6138808961212635,21.0,201.0,4,176
161,-89.49759999999999,200,0.8677,32400,0.6410337437689304,34.0,242.0,7,174
162,-173.4512,200,0.8668833333333333,32600,0.6520554575324059,15.0,369.0,3,170
163,-124.38680000000008,200,0.8660666666666667,32800,0.5939336664974689,19.0,280.0,5,184
164,-109.13879999999993,200,0.86525,33000,0.6394320973753929,10.0,229.0,2,171
165,-116.55980000000002,200,0.8644333333333334,33200,0.6493338944017887,24.0,277.0,5,178
166,-150.46240000000003,200,0.8636166666666667,33400,0.635574787557125,20.0,337.0,3,173
167,-152.33919999999998,200,0.8628,33600,0.6455605331063271,17.0,335.0,5,173
168,-93.79179999999998,200,0.8619833333333333,33800,0.6259122266620397,31.0,249.0,12,177
169,-160.24480000000003,200,0.8611666666666666,34000,0.6192806920409203,17.0,348.0,4,182
170,-106.7864,200,0.86035,34200,0.6468594504892826,26.0,260.0,4,185
171,-147.11659999999998,200,0.8595333333333333,34400,0.6665767597407103,9.0,302.0,1,179
