episode,total_reward,steps,epsilon,table_size,delivered_units,spoiled_units,deliveries_count,distance
120,-1714.4820000000004,200,0.89715,876,0.0,333.0,0,162
121,-1661.6340000000007,200,0.8963,878,0.0,322.0,0,178
122,-1633.8220000000003,200,0.89545,883,0.0,315.0,0,173
123,-1283.3300000000002,200,0.8946000000000001,884,0.0,246.0,0,175
124,-1707.809999999999,200,0.89375,884,13.0,358.0,3,177
125,-1364.0179999999993,200,0.8929,885,10.0,284.0,2,177
126,-1698.5720000000006,200,0.89205,885,0.0,329.0,0,183
127,-1333.7259999999997,200,0.8912,893,19.0,297.0,4,184
128,-1158.9679999999996,200,0.89035,893,0.0,221.0,0,171
129,-1587.2720000000002,200,0.8895,894,7.0,322.0,2,178
130,-1385.202,200,0.8886499999999999,896,17.0,304.0,4,177
131,-1239.4059999999997,200,0.8878,898,31.0,307.0,5,178
132,-1174.4399999999996,200,0.88695,899,8.0,242.0,2,184
133,-1752.432000000001,200,0.8861,899,10.0,362.0,2,174
134,-1535.3139999999999,200,0.88525,901,0.0,297.0,0,168
135,-1589.2939999999992,200,0.8844,905,13.0,336.0,2,180
136,-1716.3499999999995,200,0.88355,907,0.0,333.0,0,173
137,-1577.0559999999994,200,0.8827,915,22.0,354.0,7,178
138,-1485.702,200,0.88185,915,0.0,286.0,0,177
139,-1897.944,200,0.881,918,0.0,369.0,0,175
140,-1095.2839999999997,200,0.88015,923,5.0,218.0,1,174
141,-1517.7160000000006,200,0.8793,923,3.0,300.0,1,168
142,-1192.5040000000001,200,0.87845,927,0.0,229.0,0,184
143,-1687.2140000000002,200,0.8776,927,6.0,339.0,1,178
144,-1392.9499999999998,200,0.87675,930,19.0,309.0,3,168
145,-1569.945999999999,200,0.8759,941,0.0,304.0,0,173
146,-2057.476,200,0.87505,941,0.0,401.0,0,173
147,-1600.3479999999995,200,0.8742,942,26.0,370.0,6,173
148,-1474.4699999999998,200,0.8733500000000001,945,28.0,346.0,5,166
149,-1705.7120000000007,200,0.8725,948,12.0,357.0,2,172
150,-1461.3780000000004,200,0.87165,951,11.0,306.0,3,176
151,-1004.9560000000001,200,0.8708,953,22.0,237.0,4,170
152,-2231.251999999999,200,0.86995,954,0.0,434.0,0,179
153,-1760.2179999999998,200,0.8691,954,3.0,348.0,3,171
154,-1649.355999999999,200,0.86825,954,7.0,334.0,2,183
155,-1649.1559999999997,200,0.8674,956,7.0,334.0,1,175
156,-735.1960000000001,200,0.86655,963,53.0,260.0,11,169
