episode,total_reward,steps,epsilon,replay_size,mean_loss,delivered_units,spoiled_units,deliveries_count,distance
116,-1385.7539999999992,200,0.05,23400,6.846250451803208,19.0,309.0,4,128
117,-669.2800000000001,200,0.05,23600,6.743156797885895,44.0,221.0,15,131
118,-794.6700000000002,200,0.05,23800,7.111249575614929,50.0,262.0,13,137
119,-1003.0340000000004,200,0.05,24000,6.974762201309204,1.0,193.0,1,122
120,-972.3420000000002,200,0.05,24200,6.8618094658851625,41.0,278.0,13,150
121,-842.6839999999999,200,0.05,24400,6.851286749839783,40.0,252.0,15,147
122,-856.3800000000001,200,0.05,24600,6.881781700849533,42.0,253.0,12,131
123,-728.3220000000002,200,0.05,24800,6.5444524645805355,36.0,221.0,7,146
124,-1422.8959999999997,200,0.05,25000,6.557572069168091,27.0,334.0,7,137
125,-938.446,200,0.05,25200,6.995187641382217,37.0,259.0,10,148
126,-953.6059999999995,200,0.05,25400,6.732325426340103,41.0,274.0,11,129
127,-860.854,200,0.05,25600,6.998775160312652,44.0,260.0,9,168
128,-302.41599999999994,200,0.05,25800,7.042486853599549,52.0,170.0,11,136
129,-1412.21,200,0.05,26000,6.81418528676033,18.0,311.0,4,131
130,-921.8660000000001,200,0.05,26200,7.305696512460709,40.0,264.0,12,153
131,-946.6439999999998,200,0.05,26400,7.002109378576279,41.0,271.0,9,171
132,-94.25000000000006,200,0.05,26600,7.008790911436081,57.0,136.0,23,140
133,-882.6559999999998,200,0.05,26800,6.945371615886688,57.0,297.0,15,138
134,-878.5059999999999,200,0.05,27000,6.863927903175354,32.0,236.0,10,132
135,-1581.0359999999998,200,0.05,27200,6.8755928635597225,11.0,330.0,3,136
136,-1243.8279999999995,200,0.05,27400,6.977541261911393,29.0,301.0,6,139
137,-1256.2019999999995,200,0.05,27600,7.086238632202148,32.0,309.0,14,150
138,-657.85,200,0.05,27800,6.9544780313968655,39.0,205.0,15,164
139,-1093.67,200,0.05,28000,7.080780553817749,34.0,283.0,16,149
140,-762.7320000000003,200,0.05,28200,6.6967830467224125,26.0,197.0,3,145
141,-896.7859999999998,200,0.05,28400,6.9022353446483615,33.0,245.0,12,144
142,-596.3399999999998,200,0.05,28600,7.06895001411438,39.0,198.0,9,150
143,-1352.4800000000002,200,0.05,28800,6.895317215919494,24.0,312.0,5,117
144,-763.2600000000002,200,0.05,29000,6.822892140150071,41.0,229.0,15,142
145,-554.1159999999999,200,0.05,29200,6.960043263435364,55.0,227.0,15,146
146,-1523.4800000000005,200,0.05,29400,6.773040999174118,28.0,356.0,8,166
147,-1471.8200000000002,200,0.05,29600,6.841080875396728,33.0,359.0,8,130
148,-1294.202,200,0.05,29800,7.204415994882583,35.0,328.0,12,158
149,-712.5839999999996,200,0.05,30000,6.964272255897522,69.0,282.0,19,162
